STRO,DENUNCIA,TR_SERIE,TR_NRO_DENUNCIA,NRO_STRO,ANIO_STRO,TR_MARCA,TATMP_NU_ANNIO,TR_MODELO,TR_ANIO,TIPO_VEH,COLOR,TR_DANIOS,EMPRESA
11815/2021,M354091,M,354.091,11.815,2.021,VOLKSWAGEN,2.021,N2PBORA A4 2.0,2.010,AUTO,PLATA,PARAGOLPE TRASERO.TAPA BAUL. LUNETA FARO TRASERO DERECHO GUARDABARROS TRASERO DERECHO A CORROBORAR OTROS,CARS
11454/2021,M355041,M,355.041,11.454,2.021,LIFAN,2.021,N4P620 1.5   1.,2.018,AUTO,NEGRO,AMBAS PUERTAS DERECHAS Z?CALO DERECHO,CARS
11467/2021,M353057,M,353.057,11.467,2.021,CHEVROLET,2.021,N4PONIX ACTIV 1,2.018,AUTO,NEGRO,TECHO TREN DELANTERO CRISTALES PUERTAS GUARDABARROS IZQUIERDOS ESPEJO IZQUIERDO P.GOLPE DELANTERO CAPOT ESPEJO DERECHO CRISTAL PUERTA DELANTERA DERECHA PARABRISAS PUERTAS DERECHAS GUARDABARRO Y MONTANTE DELANTERO DERECHO CONF. MEC CARROC. INTERIORES,CARS
11587/2021,M354592,M,354.592,11.587,2.021,FIAT,2.021,N4PUNO EVO ATTR,2.016,AUTO,GRIS,ENVOLVENTES.  GUARDABARROS IZQUIERDOS.  PUERTAS IZQUIERDAS.  ZOCALO IZQUIERDO.  A/CORROBORAR RADIADOR PARANTE DELANTERO Y DEMAS DA?OS.,CARS
11730/2021,M354120,M,354.120,11.730,2.021,FIAT,2.021,N2PSTRADA TREKK,2.010,AUTO,AZUL,PUERTA ZOCALO Y CRISTAL DE PUERTA DELANTERA IZQUIERDA LATERAL IZQUIERDO ZOCALO IZQUIERDO,CARS
11682/2021,M354112,M,354.112,11.682,2.021,CHEVROLET,2.021,NPRISMA 1.4 LTZ,2.017,AUTO,GRIS,PARAGOLOE TRASERO TAPA BAUL FAROS TRASEROS A CORROBORAR INTERIOR DE BAUL Y OTROS,CARS
11298/2021,M353044,M,353.044,11.298,2.021,SUZUKI,2.021,N4PSWIFT 1.2 GO,2.017,AUTO,GRIS,"CARETA,CAPO,BOCHADE TRAILER,AMBOS PARAGOLPES,CONF MECANICA, VALIJA Y DEMAS DA?OS",CARS
11733/2021,M354595,M,354.595,11.733,2.021,SUZUKI,2.021,N4PALTO MARUTI,2.020,AUTO,BCO,RADIADOR. ENVOLVENTE DELANTERO. CAPOT. PARANTE DELANTERO.,CARS
11128/2021,M352992,M,352.992,11.128,2.021,PEUGEOT,2.021,N4P208 ACTIVE 1,2.015,AUTO,GRIS,"FRENTE, CAPOT, CARETA, PARAGOLPE, OPTICAS, GUARDABARROS, RADIADOR Y OTROS A CONFIRMAR.",CARS
11862/2021,M354108,M,354.108,11.862,2.021,CITROEN,2.021,N4PC3 AIRCROSS,2.013,AUTO,NEGRO,PARAGOLPE DELANTERO Y TRASERO FAROL TRASERO DERECHO GUARDABARRO TRASERO DERECHO,CARS
11494/2021,M354863,M,354.863,11.494,2.021,VOLKSWAGEN,2.021,NUP HIGH 1.0 FU,2.016,AUTO,NEGRO,"OPTICO DEL DER, GUARD DEL Y TRAS. DER, AMBAS PUERTAS DERECHAS, AMBOS PARAGOLPES,  LLANTA Y CUBIERTA DELANTERA DERECHA,  A CORROBORAR INT Y MEC",CARS
11510/2021,M354699,M,354.699,11.510,2.021,CHEVROLET,2.021,N4PONIX 1.0 JOY,2.017,AUTO,GRIS OSC,"FRONTAL,PARAGOLPE DELANTERO,GUARDABARRO DELANTERO DERECHO.CAPOT.FAROL DELANTERO DERECHO.DEMAS INTERNO A CORROBORAR.",CARS
11614/2021,M352760,M,352.760,11.614,2.021,CHERY,2.021,N4PQQ 308 800 B,2.013,AUTO,BLANCO,"PARAGOLPE TRASERO,  DEM?S A CORROBORAR.",CARS
11561/2021,M353073,M,353.073,11.561,2.021,CHEVROLET,2.021,N4PAVEO 1.6 LT,2.012,AUTO,AZUL,P.GOLPE DELANTERO FRENTE CARETA CAPOT CONF. RADIADOR,CARS
11869/2021,M353070,M,353.070,11.869,2.021,RENAULT,2.021,N4PSYMBOL 1.6 P,2.011,AUTO,GRIS,PARABRISAS TECHO CAPOT PUERTA DELANTERA IZQUIERDA CONF. DEMAS DA?OS POR VUELCO,CARS
11825/2021,M353064,M,353.064,11.825,2.021,CHEVROLET,2.021,N4PSPARK 1.0 LS,2.012,AUTO,NEGRO,"TREN DELANTERO,RUEDAS,PARAGOLPEDELANTERO CAPO,PARABRISAS,OPTICAS,AMBOS GUARDABARROS DELANTEROS,AMBAS PUERTAS DERECHAS, ESPEJO DERECHO, RUEDA TRASERADERECHA, CONF DEMAS DA?OS",CARS
11504/2021,M352756,M,352.756,11.504,2.021,RENAULT,2.021,N4PKWID 1.0 OUT,2.020,AUTO,ROJO,"RETROVISOR IZQUIERDO,PUERTAS IZQUIERDAS , GUARDABARRO DELANTERO IZQUIERDO.",CARS
11316/2021,M354680,M,354.680,11.316,2.021,CHEVROLET,2.021,N4PCELTA 1.4 AD,2.015,AUTO,GRIS,ZOCALO IZQUIERDO.PUERTAS IZQUIERDAS.GUARDABARRO DELANTERO IZQUIERDO.PERDIDA DE LIQUIDO.PARANTE DELANTERO IZQUIERDO..PARABRISAS.ESPEJO IZQUIERDO.DEMAS A CORROBORAR.,CARS
